artist_id,name,spotify_genres_raw,genre
b23bf3d133e87387964e71,A$AP Rocky,,
646d783b7edcb8fe4720ff,A$hy Baby,,
c90bc5fd6b41bbef81ec9a,A$THMA BOYS,,
f537202769d05c11964b15,A36,,
6c0afff462be9eb4aad685,A5rass - الاخرس,,
c7b2315cf552808a5ac7a6,Aan Story,,
052645221b9aff53cd692c,Aarne,,
2e5137e782d6b4d11b852b,Aarne Tenkanen,,
70219d35c08be996658ffb,Aaro630,,
1528b5b12eebab6d961c1d,Aarohi Raghav,,
a17dfb4b64c5381ae363cf,Aaron Modesto,,
b2bdc26300dfafa8d959d6,Aasa Singh,,
b8449bdeacd0a5cbb1abd7,Aashir Wajahat,,
e5fb2d76bfd7b64859f031,Aatulove,,
de88b1d1abf69a8537aed2,ABBA,,
0af878d7eb0f83cd8edf57,Abd El Aziz Mahmoud,,
7d71d77882c8d258fe44b3,Abd El Basset Hamouda,,
2b8da13b49c8286fa22667,Abdou Gambetta,,
a2867737549ee36cf17391,Abduh,,
02bf2f698d14434307304f,Abdul Hannan,,
2185ef02cabec5d86456cf,Abdul Kadir,,
80535b5741334213087839,Abdullah Maharvi,,
25837f3b3ee3b693356686,Abdullah Siddiqui,,
1e89dd32a3fcdcd41f1667,Abdul Majeed Abdullah,,
c801d3fc1f66c20f1ea4ee,Abeer Nehme,,
933631eda55c24ce899daf,Abel e Benício,,
87f4415d4cd44fa1105236,Abel Pintos,,
9810b4de1bf1869168f9ad,Abhijay Sharma,,
d476cc0d9415ade18f58af,Abhijit Vaghani,,
d4fe67316349f6a34524e5,Abhilipsa Panda,,
4f7b6463065a26801873a8,Abhir Hathi,,
5679579ae833c24edfcf07,Abi,,
e11fc2c9bc8bb326211236,Abi wa Mampela,,
47d16df0fec528a3bd7817,ABMPXC,,
92cae64320e402bb9af00b,Abor & Tynna,,
1dcdd97507c56da03c8de3,Abou Debeing,,
5158d362d3eab748317686,Abraham Mateo,,
9d1d0add4c993862cd77d5,Abraham Wayne,,
ac77bfcafd43064156dbe4,Abrar Khan,,
